id,value,key,type
4246281,TÖL 9,ref,regular
4246281,good,smoothness,regular
4246281,DE:urban,maxspeed,source
4246281,asphalt,surface,regular
4252481,yes,bicycle,regular
4252481,yes,foot,regular
4252481,cycleway,highway,regular
4252481,paved,surface,regular
4256771,yes,bicycle,regular
4256771,footway,highway,regular
4260722,track,highway,regular
4260722,grade5,tracktype,regular
4262240,residential,highway,regular
4262240,yes,lit,regular
4262240,30,maxspeed,regular
4262240,Inselkammerstraße,name,regular
4262240,asphalt,surface,regular
4264803,use_sidepath,foot,regular
4264803,secondary,highway,regular
4264803,2,lanes,regular
4264803,50,maxspeed,regular
4264803,Vöttinger Straße,name,regular
4264803,St 2339,ref,regular
4264803,separate,sidewalk,regular
4264803,asphalt,surface,regular
4264803,DE:46949/46950,tmc,regular
4266921,track,highway,regular
4266921,grass,surface,regular
4266921,grade5,tracktype,regular
4267237,residential,highway,regular
4267237,Meisenweg,name,regular
4267237,83607,postal_code,regular
4267816,trunk_link,highway,regular
4267816,1,lanes,regular
4267816,70,maxspeed,regular
4267816,yes,motorroad,regular
4267816,yes,oneway,regular
4267816,no,overtaking,regular
4267816,B 471,ref,regular
4267816,DE:23825/23826,tmc,regular
4268426,residential,highway,regular
4268426,roundabout,junction,regular
4268727,residential,highway,regular
4268727,yes,lit,regular
4268727,30,maxspeed,regular
4268727,Heimdallstraße,name,regular
4268727,good,smoothness,regular
4268727,survey,source,regular
4268727,DE:zone:30,maxspeed,source
4268727,asphalt,surface,regular
4270131,secondary,highway,regular
4270131,50,maxspeed,regular
4270131,Indersdorfer Straße,name,regular
4270131,St 2054,ref,regular
4270131,left,sidewalk,regular
4270131,asphalt,surface,regular
4270131,DE:27424/27425,tmc,regular
4270313,designated,bicycle,regular
4270313,yes,bridge,regular
4270313,designated,foot,regular
4270313,path,highway,regular
4270313,1,layer,regular
4270313,no,lit,regular
4270313,no,bicycle,oneway
4270313,no,segregated,regular
4270313,excellent,smoothness,regular
4270313,asphalt,surface,regular
4270313,1.88,width,regular
4270356,pedestrian,highway,regular
4270356,yes,lit,regular
4270356,Lindenpassage,name,regular
4270356,sett,surface,regular
4273371,Dachau;Niederroth,forward,destination
4273371,secondary,highway,regular
4273371,50,maxspeed,regular
4273371,Dachauer Straße,name,regular
4273371,St 2050,ref,regular
4273371,both,sidewalk,regular
4273371,asphalt,surface,regular
4273371,DE:27405/30076,tmc,regular
4277129,residential,highway,regular
4277129,50,maxspeed,regular
4277246,secondary,highway,regular
4277246,70,maxspeed,regular
4277246,St 2047,ref,regular
4277246,asphalt,surface,regular
4277246,DE:32258/32259,tmc,regular
4277246,6.0,width,regular
4277246,DE:rural,traffic,zone
4279744,tertiary,highway,regular
4279744,50,maxspeed,regular
4279744,FS 3,ref,regular
4287960,use_sidepath,bicycle,regular
4287960,use_sidepath,foot,regular
4287960,secondary,highway,regular
4287960,6,lanes,regular
4287960,4,backward,lanes
4287960,2,forward,lanes
4287960,50,maxspeed,regular
4287960,Radlkoferstraße,name,regular
4287960,asphalt,surface,regular
4287960,DE:35425/35426,tmc,regular
4287960,left|through|right|right,lanes:backward,turn
4288771,stream,waterway,regular
4288771,1,width,regular
4291757,tertiary,highway,regular
4291757,50,maxspeed,regular
4291757,Gröbenrieder Straße,name,regular
4291757,asphalt,surface,regular
4296594,service,highway,regular
4296594,Arnbacher Straße,name,regular
4297998,tertiary,highway,regular
4297998,2,lanes,regular
4297998,50,maxspeed,regular
4297998,Freisinger Straße,name,regular
4297998,DAH 9,ref,regular
4297998,both,sidewalk,regular
4297998,asphalt,surface,regular
4300027,living_street,highway,regular
4300027,7,maxspeed,regular
4300027,Doktor-Karl-Haaser-Weg,name,regular
4300027,paved,surface,regular
4300450,residential,highway,regular
4300450,2,lanes,regular
4300450,yes,lit,regular
4300450,30,maxspeed,regular
4300450,Lindenallee,name,regular
4300450,good,smoothness,regular
4300450,survey,source,regular
4300450,DE:zone:30,maxspeed,source
4300450,asphalt,surface,regular
4300931,JOSM,created_by,regular
4300931,living_street,highway,regular
4300931,yes,noname,regular
4300931,survey,source,regular
4300931,asphalt,surface,regular
4302035,yes,bicycle,regular
4302035,tertiary,highway,regular
4302035,50,maxspeed,regular
4302035,30 @ (07:00-17:00),conditional,maxspeed
4302035,Indersdorfer Straße,name,regular
4302035,DAH 3,ref,regular
4302035,both,sidewalk,regular
4302035,good,smoothness,regular
4302035,asphalt,surface,regular
4302757,residential,highway,regular
4302757,30,maxspeed,regular
4302757,Ringstraße,name,regular
4310974,Gewerbegebiet Dachau-Ost 1,forward,destination
4310974,residential,highway,regular
4310974,50,maxspeed,regular
4310974,Hans-Böckler-Straße,name,regular
4311476,residential,highway,regular
4311476,yes,lit,regular
4311476,30,maxspeed,regular
4311476,Konrad-Adenauer-Straße,name,regular
4311476,sett,surface,regular
4312182,no,bicycle,regular
4312182,footway,highway,regular
4312182,no,motorcar,regular
4312182,no,motorcycle,regular
4312182,Schloßgarten,name,regular
4312182,pebblestone,surface,regular
4312590,service,highway,regular
4313811,track,highway,regular
4313811,grade4,tracktype,regular
4313888,Amper Werkkanal,name,regular
4313888,canal,waterway,regular
4315483,residential,highway,regular
4315483,30,maxspeed,regular
4315483,Stögerstraße,name,regular
4317397,yes,bdouble,regular
4317397,trunk_link,highway,regular
4317397,2,lanes,regular
4317397,60,maxspeed,regular
4317397,yes,motorroad,regular
4317397,excellent,smoothness,regular
4317397,sign,maxspeed,source
4317397,asphalt,surface,regular
4318948,use_sidepath,bicycle,regular
4318948,yes,bridge,regular
4318948,use_sidepath,foot,regular
4318948,secondary,highway,regular
4318948,2,lanes,regular
4318948,1,layer,regular
4318948,yes,lit,regular
4318948,50,maxspeed,regular
4318948,no,signed,maxweight
4318948,Albert-Schweitzer-Straße,name,regular
4318948,yes,oneway,regular
4318948,good,smoothness,regular
4318948,asphalt,surface,regular
4319983,JOSM,created_by,regular
4319983,service,highway,regular
4319983,Mitterweg,name,regular
4324770,Amper Kanal,name,regular
4324770,canal,waterway,regular
4326822,residential,highway,regular
4326822,Ludwig-Pichler-Weg,name,regular
4329310,designated,bicycle,regular
4329310,yes,bicycle_road,regular
4329310,yes,foot,regular
4329310,residential,highway,regular
4329310,yes,lit,regular
4329310,30,maxspeed,regular
4329310,yes,motor_vehicle,regular
4329310,Margaretenstraße,name,regular
4329310,excellent,smoothness,regular
4329310,DE:bicycle_road,maxspeed,source
4329310,asphalt,surface,regular
4329310,"DE:244,DE:1022-12,DE:1024-10",traffic_sign,regular
4330259,use_sidepath,foot,regular
4330259,tertiary,highway,regular
4330259,2,lanes,regular
4330259,yes,lit,regular
4330259,50,maxspeed,regular
4330259,Jagdstraße,name,regular
4330259,separate,sidewalk,regular
4330259,asphalt,surface,regular
4335326,tertiary,highway,regular
4335326,50,maxspeed,regular
4335326,Auf den Schrederwiesen,name,regular
4335326,asphalt,surface,regular
4340024,tertiary,highway,regular
4340024,2,lanes,regular
4340024,80,maxspeed,regular
4340024,FS 5,ref,regular
4340024,good,smoothness,regular
4340024,sign,maxspeed,source
4340024,asphalt,surface,regular
4342521,tertiary,highway,regular
4342521,70,maxspeed,regular
4342521,Wippenhauser Straße,name,regular
4342521,FS 8,ref,regular
4342521,asphalt,surface,regular
4342521,5.5,width,regular
4344500,yes,bridge,regular
4344500,JOSM,created_by,regular
4344500,unclassified,highway,regular
4344500,1,layer,regular
4344630,residential,highway,regular
4344630,30,maxspeed,regular
4344630,Heilmaierstraße,name,regular
4344795,school,amenity,regular
4344795,Grund- und Hauptschule,name,regular
4344795,yes,wheelchair,regular
4345048,service,highway,regular
4346824,yes,bicycle,regular
4346824,footway,highway,regular
4346824,paved,surface,regular
4348424,pedestrian,highway,regular
4348424,yes,lit,regular
